gid,startdistrictid,enddistrictid
136524,7,7
136435,4,4
146716,22,22
136845,,
290948,24,24
137634,33,7
3404,23,27
138997,24,23
140242,,
231899,27,
146486,18,30
6592,7,7
2985,5,
155177,4,4
95368,,
155280,7,7
155726,7,7
169366,,
15688,16,24
18768,4,4
20601,13,13
180127,23,23
38754,,
182609,25,25
184385,22,22
210454,22,22
20122,33,4
256700,7,
186419,,8
275314,,
20550,,
21569,,
186978,23,7
45512,,
30301,27,27
25659,,
195613,16,16
201517,24,3
26768,4,7
214836,4,4
203059,9,9
248993,2,2
29733,30,30
234694,,
209144,25,27
210017,1,5
222236,23,23
221938,33,33
279119,,
225338,4,7
248779,4,28
199041,,
252054,33,4
252774,4,4
44712,22,22
252917,,
40824,,
40755,27,24
253281,9,9
41493,16,16
256988,4,4
256843,,
8915,2,2
121964,4,4
283586,5,5
17477,16,16
28279,4,4
18853,2,2
125496,,
51711,22,24
192502,,
221041,4,
22709,7,28
131899,,
102427,16,16
39318,24,24
45217,23,23
66196,,
55744,22,4
57285,24,5
57334,16,22
61990,2,33
237994,,
66346,23,23
122548,30,30
139721,4,4
124799,25,25
112792,18,18
147575,25,
147665,22,4
160202,1,5
100060,16,16
161191,5,4
163822,3,28
165228,24,22
45139,16,16
166248,,
9391,5,5
9716,7,5
174736,5,5
241898,16,16
167729,7,7
10539,5,5
168766,22,22
242531,,
168791,24,27
169661,5,5
23813,5,5
24428,7,7
92855,27,
196773,5,5
120926,11,33
206537,16,
281367,,
33565,5,4
34099,18,27
209993,4,24
210212,5,24
37007,23,23
213144,,
214983,28,7
222109,5,5
258150,23,23
139930,,
258226,31,31
258561,17,17
85837,,
169446,4,4
167859,7,7
207094,,
118156,,
207796,27,16
209384,8,8
21826,5,5
63369,8,11
214937,22,24
209297,,
182129,5,24
83200,19,23
218253,7,4
147559,24,24
98530,5,23
154693,,
132460,,
230369,32,
108875,4,4
275146,,
150658,,
112436,,
220203,,
262969,,
101237,,
247727,,
60781,,
138907,27,24
139554,7,7
142896,16,16
142830,,31
145076,22,30
235377,,
158006,24,24
275262,,
275968,18,18
275010,22,22
155989,8,8
276479,,
277022,4,
78213,,
160409,,4
161584,22,22
271730,5,4
283914,24,24
83761,,
285356,27,16
